flow_id,source_ip,destination_ip,protocol,tx_packets,rx_packets,tx_bytes,rx_bytes,delay_sum,jitter_sum,lost_packets,packet_loss_ratio,throughput,flow_duration,label
1,10.1.1.1,10.1.2.2,17,299,0,46644,0,0,0,121,0.288095,0,-1.40086,0
2,10.1.1.2,10.1.2.2,17,484,0,75504,0,0,0,234,0.325905,0,-1.58088,0
3,10.1.1.4,10.1.2.2,17,595,0,92820,0,0,0,284,0.323094,0,-2.8785,0
4,10.1.1.5,10.1.2.2,17,460,0,71760,0,0,0,119,0.205527,0,-3.26078,0
5,10.1.1.6,10.1.2.2,17,695,0,108420,0,0,0,274,0.282766,0,-4.00255,0
6,10.1.1.7,10.1.2.2,17,448,0,69888,0,0,0,129,0.22357,0,-4.25467,0
7,10.1.1.3,10.1.2.2,17,6103,0,6420356,0,0,0,3051,0.333297,0,-5.00164,1
8,10.1.1.8,10.1.2.2,17,6103,0,6420356,0,0,0,3051,0.333297,0,-5.00164,1
9,10.1.1.10,10.1.2.2,17,6103,0,6420356,0,0,0,3051,0.333297,0,-5.00164,1
10,10.1.1.13,10.1.2.2,17,6103,0,6420356,0,0,0,3051,0.333297,0,-5.00164,1
11,10.1.1.17,10.1.2.2,17,6103,0,6420356,0,0,0,3051,0.333297,0,-5.00164,1
12,10.1.1.9,10.1.2.2,17,411,0,64116,0,0,0,210,0.338164,0,-5.25522,0
13,10.1.1.11,10.1.2.2,17,563,0,87828,0,0,0,189,0.25133,0,-6.14793,0
14,10.1.1.12,10.1.2.2,17,491,0,76596,0,0,0,128,0.206785,0,-7.36902,0
15,10.1.1.15,10.1.2.2,17,318,0,49608,0,0,0,18,0.0535714,0,-8.41212,0
16,10.1.1.16,10.1.2.2,17,152,0,23712,0,0,0,53,0.258537,0,-8.92225,0
17,10.1.1.14,10.1.2.2,17,258,0,40248,0,0,0,0,0,0,-10.0281,0
18,10.1.1.19,10.1.2.2,17,391,0,60996,0,0,0,0,0,0,-10.4229,0
19,10.1.1.18,10.1.2.2,17,307,0,47892,0,0,0,0,0,0,-11.0876,0
20,10.1.1.20,10.1.2.2,17,236,0,36816,0,0,0,0,0,0,-12.0505,0
