flow_id,source_ip,destination_ip,protocol,tx_packets,rx_packets,tx_bytes,rx_bytes,delay_sum,jitter_sum,lost_packets,packet_loss_ratio,throughput,flow_duration,label
1,10.1.1.2,10.1.2.2,17,1809,0,282204,0,0,0,1570,0.464635,0,0,0
2,10.1.1.4,10.1.2.2,17,2095,0,326820,0,0,0,1857,0.469889,0,0,0
3,10.1.1.7,10.1.2.2,17,1197,0,186732,0,0,0,1029,0.462264,0,0,0
4,10.1.1.1,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
5,10.1.1.3,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
6,10.1.1.5,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
7,10.1.1.9,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
8,10.1.1.10,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
9,10.1.1.13,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
10,10.1.1.14,10.1.2.2,17,30517,5446,32103884,5729192,2578.55,39.1075,22849,0.428157,909.788,50.3783,1
11,10.1.1.15,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
12,10.1.1.16,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
13,10.1.1.20,10.1.2.2,17,30517,7825,32103884,8231900,2092.06,41.8723,20014,0.396074,1304.45,50.485,1
14,10.1.1.21,10.1.2.2,17,30517,10444,32103884,10987088,2602.05,46.1889,17021,0.35805,2048.19,42.9144,1
15,10.1.1.23,10.1.2.2,17,30517,30135,32103884,31702020,1940.88,81.7858,382,0.0123629,5072.3,50.0002,1
16,10.1.1.24,10.1.2.2,17,30517,28965,32103884,30471180,1374.31,77.6901,19,0.000622216,5131.92,47.5006,1
17,10.1.1.25,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
18,10.1.1.26,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
19,10.1.1.33,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
20,10.1.1.34,10.1.2.2,17,30517,1595,32103884,1677940,889.426,26.1186,25870,0.458794,311.441,43.1013,1
21,10.1.1.37,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
22,10.1.1.38,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
23,10.1.1.39,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
24,10.1.1.6,10.1.2.2,17,1506,0,234936,0,0,0,1378,0.477809,0,0,0
25,10.1.1.8,10.1.2.2,17,1636,0,255216,0,0,0,1305,0.443727,0,0,0
26,10.1.1.12,10.1.2.2,17,1669,0,260364,0,0,0,1495,0.472503,0,0,0
27,10.1.1.11,10.1.2.2,17,1822,0,284232,0,0,0,1472,0.446873,0,0,0
28,10.1.1.17,10.1.2.2,17,1684,0,262704,0,0,0,1373,0.449133,0,0,0
29,10.1.1.18,10.1.2.2,17,1806,0,281736,0,0,0,1479,0.450228,0,0,0
30,10.1.1.22,10.1.2.2,17,1443,1164,225108,181584,166.13,34.196,212,0.128097,30.6087,47.4595,0
31,10.1.1.19,10.1.2.2,17,1565,0,244140,0,0,0,1222,0.438464,0,0,0
32,10.1.1.28,10.1.2.2,17,1519,0,236964,0,0,0,1191,0.439483,0,0,0
33,10.1.1.29,10.1.2.2,17,1476,0,230256,0,0,0,1207,0.44987,0,0,0
34,10.1.1.27,10.1.2.2,17,1549,1523,241644,237588,99.3118,37.0838,26,0.0165079,43.9226,43.2739,0
35,10.1.1.30,10.1.2.2,17,1145,600,178620,93600,110.996,20.5876,436,0.275775,17.479,42.84,0
36,10.1.1.31,10.1.2.2,17,1579,0,246324,0,0,0,1188,0.429346,0,0,0
37,10.1.1.32,10.1.2.2,17,1258,593,196248,92508,244.578,36.0332,469,0.271569,18.4996,40.0044,0
38,10.1.1.35,10.1.2.2,17,1313,193,204828,30108,98.2666,12.8452,1038,0.441514,11.0988,21.7017,0
39,10.1.1.36,10.1.2.2,17,1398,0,218088,0,0,0,1145,0.450256,0,0,0
40,10.1.1.40,10.1.2.2,17,1445,0,225420,0,0,0,1083,0.428402,0,0,0
