time,normal_packets,attack_packets,total_throughput,avg_delay
1,0,0,0,0
2,25,0,0,0
3,67,0,51.168,0
4,76,0,84.864,0
5,50,0,99.84,0
6,70,3660,9610.91,0
7,64,3660,20698.3,0
8,140,3666,31044.7,0
9,179,3660,41352.2,0
10,162,3660,51679.3,0
11,178,3666,62016.4,0
12,161,3660,72340,0
13,139,3660,82670,0
14,117,3666,92965.9,0
15,99,3660,103365,0
16,147,3660,113767,0
17,192,3666,124157,0
18,161,3660,134531,0
19,166,3660,144909,0
20,188,3666,155236,0
21,188,3660,165599,0
22,137,3660,176007,0
23,90,3666,181254,0
24,70,3660,181305,0
25,157,3666,181386,0
26,127,3660,181480,0
27,163,3660,181612,0
28,146,3666,181707,0
29,129,3660,181774,0
30,150,3660,181869,0
31,111,3666,181903,0
32,171,3660,181989,0
33,185,3660,182109,0
34,144,3666,182170,0
35,188,3660,182231,0
36,180,0,182292,0
37,173,0,182354,0
38,94,0,182410,0
39,46,0,182410,0
40,0,0,182410,0
