flow_id,source_ip,destination_ip,protocol,tx_packets,rx_packets,tx_bytes,rx_bytes,delay_sum,jitter_sum,lost_packets,packet_loss_ratio,throughput,flow_duration,label
1,10.1.1.1,10.1.2.2,17,1741,1362,271596,212472,4.59141,2.33161,379,0.178774,29.6662,57.2968,0
2,10.1.1.2,10.1.2.2,17,1429,1429,222924,222924,3.55519,0.810725,0,0,31.2384,57.0898,0
3,10.1.1.3,10.1.2.2,17,1931,1931,301236,301236,5.37666,1.54191,0,0,42.3525,56.9008,0
4,10.1.1.4,10.1.2.2,17,2028,1092,316368,170352,3.67664,1.61821,906,0.308793,24.4119,55.8259,0
5,10.1.1.5,10.1.2.2,17,1912,0,298272,0,0,0,1781,0.482264,0,-3.26078,0
6,10.1.1.6,10.1.2.2,17,1806,1806,281736,281736,4.47224,0.917477,0,0,40.9913,54.9845,0
7,10.1.1.7,10.1.2.2,17,1609,1608,251004,250848,5.24623,2.3226,1,0.000621118,36.664,54.7345,0
8,10.1.1.8,10.1.2.2,17,1790,1790,279240,279240,4.45568,0.978149,0,0,41.2418,54.1664,0
9,10.1.1.13,10.1.2.2,17,30517,30517,32103884,32103884,132.66,20.6986,0,0,5136.62,50,1
10,10.1.1.17,10.1.2.2,17,30517,30517,32103884,32103884,127.433,20.4358,0,0,5136.58,50.0004,1
11,10.1.1.9,10.1.2.2,17,1986,0,309816,0,0,0,1657,0.454845,0,-5.14793,0
12,10.1.1.10,10.1.2.2,17,1825,407,284700,63492,1.16671,0.409991,991,0.351918,19.1709,26.4952,0
13,10.1.1.12,10.1.2.2,17,1366,1366,213096,213096,4.099,1.64047,0,0,33.0264,51.6184,0
14,10.1.1.14,10.1.2.2,17,1458,0,227448,0,0,0,1196,0.450641,0,-7.92225,0
15,10.1.1.11,10.1.2.2,17,1734,1734,270504,270504,5.69216,2.68863,0,0,42.8754,50.4726,0
16,10.1.1.16,10.1.2.2,17,1555,1552,242580,242112,5.17314,2.57965,3,0.00192555,38.6795,50.0755,0
17,10.1.1.15,10.1.2.2,17,1613,0,251628,0,0,0,1318,0.449676,0,-9.58757,0
18,10.1.1.19,10.1.2.2,17,1570,0,244920,0,0,0,1292,0.451433,0,-10.5035,0
19,10.1.1.20,10.1.2.2,17,1686,1124,263016,175344,2.82225,0.603115,562,0.25,28.9515,48.4517,0
20,10.1.1.18,10.1.2.2,17,1649,1649,257244,257244,3.94305,0.690205,0,0,42.9343,47.9326,0
