time,normal_packets,attack_packets,total_throughput,avg_delay
0,0,0,0,0
1,0,0,0,0
2,19,0,23.712,0.0306335
3,35,0,67.392,0.0498892
4,0,0,67.392,0.0498892
5,175,0,234.624,0.075951
6,214,1220,10704.1,0.550205
7,196,1220,21208.7,0.921129
8,191,1222,31663.1,1.34251
9,223,1220,42177.7,1.45687
10,326,1220,52843,1.85649
11,240,1222,63356.1,2.23826
12,349,1220,73999.2,2.42913
13,383,1220,84687,2.81097
14,343,1222,95334.8,3.18387
15,301,1220,105953,3.5817
16,265,1220,116560,3.94854
17,267,1222,127170,4.32187
18,256,1220,137763,4.6726
19,358,1220,148466,5.05288
20,953,1222,159267,5.27799
21,343,1220,169963,5.63353
22,320,1220,180648,5.97699
23,396,1222,191410,6.34229
24,337,1220,202105,6.7253
25,388,1222,212863,7.09571
26,373,1220,223598,7.4669
27,903,1220,234298,7.71962
28,1198,1222,244940,7.52573
29,359,1220,255545,7.97123
30,416,1220,266311,9.20187
31,329,1222,277094,10.2248
32,440,1220,287848,11.4948
33,523,1220,298748,12.7302
34,548,1222,309748,13.8566
35,454,1220,320518,14.7418
36,431,1220,331311,15.1343
37,389,1222,342052,15.4401
38,319,1220,352726,15.7399
39,395,1220,363462,16.0495
40,480,1222,374268,16.3685
41,367,1220,384987,16.6664
42,392,1222,395753,16.9708
43,369,1220,406454,17.2682
44,419,1220,417238,17.5645
45,382,1222,427992,17.8562
46,454,1220,438828,18.16
47,463,1220,449646,18.4606
48,384,1222,460342,18.7429
49,454,1220,471115,19.0364
50,406,1220,481837,19.3235
51,417,1222,492572,19.6101
52,372,1220,503244,19.8912
53,268,1220,513772,20.1531
54,316,1222,524365,20.4274
55,368,1220,535044,20.7113
56,350,0,535457,20.7566
57,544,0,536075,20.8285
58,469,0,536597,20.8893
59,520,0,537186,20.9575
60,0,0,537187,20.9576
